event_id,source_camera,source_pixel_x,source_pixel_y,renderer_median_event_depth,world_x,world_y,world_z,event_normal_x,event_normal_y,event_normal_z,chart_u,chart_v,chart_n,fixed_projected_u,fixed_projected_v,fixed_projected_n,fixed_is_u_min_owner,fixed_is_u_max_owner,fixed_is_v_min_owner,fixed_is_v_max_owner,fixed_leave_one_out_delta_u_span,fixed_extent_reduction_u_span,fixed_leave_one_out_delta_v_span,fixed_extent_reduction_v_span,fixed_leave_one_out_delta_rectangular_chart_area,fixed_extent_reduction_rectangular_chart_area,fixed_relative_area_change,pca_pca_origin_shift_world,pca_axis_u_angle_degrees,pca_axis_v_angle_degrees,pca_axis_n_angle_degrees,pca_right_handed_sign_alignment,pca_joint_axis_rotation_angle_degrees,pca_leave_one_out_delta_u_span,pca_extent_reduction_u_span,pca_leave_one_out_delta_v_span,pca_extent_reduction_v_span,pca_leave_one_out_delta_rectangular_chart_area,pca_extent_reduction_rectangular_chart_area,review_extrema_owner,fixed_area_rank,pca_area_rank,fixed_area_leverage_is_not_a_decision,pca_orientation_is_not_a_decision
0,DSC08043.JPG,218.0,214.0,3.4345197677612305,1.3212159155606298,1.5802769214543608,0.9090472412525594,0.22837470872587032,0.4826986107233752,0.8454862764232767,0.9695635211662481,0.9947882014009447,1.7718906692056526,0.9695635211662481,0.9947882014009447,1.7718906692056526,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.3032023959288976e-05,0.008792970399011436,0.008793252251476482,0.00013927505628121803,"[1, 1, 1]",0.008793662828034041,2.7485561371776157e-05,-2.7485561371776157e-05,-3.971467992580635e-05,3.971467992580635e-05,-1.7445117709069535e-05,1.7445117709069535e-05,False,5,1139,True,True
1,DSC08043.JPG,219.0,214.0,3.4357566833496094,1.3149608666487853,1.5792539310728257,0.9119982471017161,0.2470456440538367,0.46662858889755754,0.8492503810876385,0.9674335578119766,0.9881789756141277,1.772704286032156,0.9674335578119766,0.9881789756141277,1.772704286032156,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.2203188709846e-05,0.007681253035836331,0.0076815505802585666,0.00026031837090249204,"[1, 1, 1]",0.007683607074767559,2.4349981726512482e-05,-2.4349981726512482e-05,-3.5236003164351715e-05,3.5236003164351715e-05,-1.554471529008339e-05,1.554471529008339e-05,False,6,1173,True,True
2,DSC08043.JPG,220.0,214.0,3.4352974891662598,1.309272890355408,1.5768418709942917,0.9158229305395316,0.2610089442388446,0.4338176066975813,0.8623668680709542,0.9667177221475736,0.9809480388470023,1.7727253646322172,0.9667177221475736,0.9809480388470023,1.7727253646322172,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.075230857720804e-05,0.006238251142856771,0.0062375253554470015,0.00023890258715004667,"[1, 1, 1]",0.00624017522183986,1.9898907838156177e-05,-1.9898907838156177e-05,-2.8612603767630418e-05,2.8612603767630418e-05,-1.2387929575030654e-05,1.2387929575030654e-05,False,7,1235,True,True
3,DSC08043.JPG,221.0,214.0,3.4329349994659424,1.3042307757009732,1.5728743792774718,0.9206221672137825,0.06947459953674164,0.8019867971199081,0.5932878367744957,0.9675905452046718,0.9730309559331314,1.771856709687564,0.9675905452046718,0.9730309559331314,1.771856709687564,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.859104415747337e-05,0.004520895760159239,0.0045204324258565475,9.883882001487387e-05,"[1, 1, 1]",0.00452120443521975,1.4266880661528702e-05,-1.4266880661528702e-05,-2.0388262573556304e-05,2.0388262573556304e-05,-8.663838149569614e-06,8.663838149569614e-06,False,8,1314,True,True
4,DSC08043.JPG,222.0,214.0,3.421309471130371,1.302348153984185,1.5613424890545056,0.9301544580571632,-0.01573296469336399,0.819446172756647,0.572940174692298,0.9761981636947247,0.9617940780908866,1.766657209167896,0.9761981636947247,0.9617940780908866,1.766657209167896,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.180211502412115e-05,0.001981714570247228,0.0019393018743761343,0.0004601055808661692,"[1, 1, 1]",0.001987433211893362,4.547269789156871e-06,-4.547269789156871e-06,-7.698669597822061e-06,7.698669597822061e-06,-4.835191917074155e-06,4.835191917074155e-06,False,9,1408,True,True
5,DSC08043.JPG,223.0,214.0,3.434568166732788,1.2919966794775781,1.5701381518091753,0.9269603209058522,-0.48311314200615246,-0.2210330868011755,-0.847198953351624,0.9640305677482425,0.9594982359002493,1.7730913320618917,0.9640305677482425,0.9594982359002493,1.7730913320618917,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.9143017676794694e-05,0.0018095584900205996,0.0017955484978041257,0.0002367956253149778,"[1, 1, 1]",0.0018103271120090115,6.320112456048577e-06,-6.320112456048577e-06,-8.281257669162656e-06,8.281257669162656e-06,-2.541155081914326e-06,2.541155081914326e-06,False,10,1472,True,True
6,DSC08043.JPG,224.0,214.0,3.4343249797821045,1.2862396234824918,1.5679040902821206,0.9306718090851892,-0.44910920840321183,-0.30992208127854476,-0.8380031160224977,0.9631352270388914,0.9523502726842202,1.7732132173319488,0.9631352270388914,0.9523502726842202,1.7732132173319488,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.943809201582628e-05,0.0003469705006081967,0.00024295973926245456,0.00024793416167049345,"[1, 1, 1]",0.00034705242368919943,1.5718117292173872e-06,-1.5718117292173872e-06,-1.1224783242891334e-06,1.1224783242891334e-06,9.870096371322745e-07,-9.870096371322745e-07,False,11,1540,True,True
7,DSC08043.JPG,225.0,214.0,3.427396297454834,1.2827920312332202,1.5602206626544586,0.9377814305405948,0.3297010701457759,0.44530814709568434,0.832464929276266,0.9678278688855084,0.942841509450785,1.7702081875590892,0.9678278688855084,0.942841509450785,1.7702081875590892,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.675966834557262e-05,0.0017412099704903162,0.0017385806392039257,0.0001015488295058739,"[1, 1, 1]",0.0017413767880897824,-5.709899921990669e-06,5.709899921990669e-06,7.576145429011305e-06,-7.576145429011305e-06,2.4588968305927494e-06,-2.4588968305927494e-06,False,12,1477,True,True
8,DSC08043.JPG,226.0,214.0,3.4287335872650146,1.2764995401594446,1.559278522654113,0.9406831182871366,-0.12359716101208752,-0.8099156136425328,-0.5733763515944754,0.9656134883629871,0.9362643808498121,1.7710688627242759,0.9656134883629871,0.9362643808498121,1.7710688627242759,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,4.8776342397645164e-05,0.0031919863257401353,0.0031919842704784904,3.91248236030638e-06,"[1, 1, 1]",0.003191986439921299,-9.898676611719281e-06,9.898676611719281e-06,1.4161397525969122e-05,-1.4161397525969122e-05,6.037722349638841e-06,-6.037722349638841e-06,False,13,1373,True,True
9,DSC08043.JPG,227.0,214.0,3.4300715923309326,1.2702022514317133,1.5583353796079167,0.9435872376752165,0.3016889333433652,0.3916517897369503,0.869248332235378,0.9633976541175583,0.9296820029897875,1.7719300559957698,0.9633976541175583,0.9296820029897875,1.7719300559957698,False,False,False,False,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,5.109705738667066e-05,0.004729618113903693,0.0047289740019487905,0.00011258163742779184,"[1, 1, 1]",0.00472996610439402,-1.4326884710813559e-05,1.4326884710813559e-05,2.1328780251295143e-05,-2.1328780251295143e-05,1.0176468829836693e-05,-1.0176468829836693e-05,False,14,1284,True,True
